budget,id,language,original_title,popularity,release_date,revenue,runtime,status,vote_average,vote_count
237000000,19995,en,Avatar,150.437577,12/10/2009,2787965087,162,Released,7.2,11800
300000000,285,en,Pirates of the Caribbean: At World's End,139.082615,5/19/2007,961000000,169,Released,6.9,4500
245000000,206647,en,Spectre,107.376788,10/26/2015,880674609,148,Released,6.3,4466
250000000,49026,en,The Dark Knight Rises,112.31295,7/16/2012,1084939099,165,Released,7.6,9106
260000000,49529,en,John Carter,43.926995,3/7/2012,284139100,132,Released,6.1,2124
258000000,559,en,Spider-Man 3,115.699814,5/1/2007,890871626,139,Released,5.9,3576
260000000,38757,en,Tangled,48.681969,11/24/2010,591794936,100,Released,7.4,3330
280000000,99861,en,Avengers: Age of Ultron,134.279229,4/22/2015,1405403694,141,Released,7.3,6767
250000000,767,en,Harry Potter and the Half-Blood Prince,98.885637,7/7/2009,933959197,153,Released,7.4,5293
250000000,209112,en,Batman v Superman: Dawn of Justice,155.790452,3/23/2016,873260194,151,Released,5.7,7004
270000000,1452,en,Superman Returns,57.925623,6/28/2006,391081192,154,Released,5.4,1400
200000000,10764,en,Quantum of Solace,107.928811,10/30/2008,586090727,106,Released,6.1,2965
200000000,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,6/20/2006,1065659812,151,Released,7,5246
255000000,57201,en,The Lone Ranger,49.046956,7/3/2013,89289910,149,Released,5.9,2311
225000000,49521,en,Man of Steel,99.398009,6/12/2013,662845518,143,Released,6.5,6359
225000000,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,5/15/2008,419651413,150,Released,6.3,1630
220000000,24428,en,The Avengers,144.448633,4/25/2012,1519557910,143,Released,7.4,11776
380000000,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,5/14/2011,1045713802,136,Released,6.4,4948
225000000,41154,en,Men in Black 3,52.035179,5/23/2012,624026776,106,Released,6.2,4160
250000000,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,12/10/2014,956019788,144,Released,7.1,4760
215000000,1930,en,The Amazing Spider-Man,89.866276,6/27/2012,752215857,136,Released,6.5,6586
200000000,20662,en,Robin Hood,37.668301,5/12/2010,310669540,140,Released,6.2,1398
250000000,57158,en,The Hobbit: The Desolation of Smaug,94.370564,12/11/2013,958400000,161,Released,7.6,4524
180000000,2268,en,The Golden Compass,42.990906,12/4/2007,372234864,113,Released,5.8,1303
207000000,254,en,King Kong,61.22601,12/14/2005,550000000,187,Released,6.6,2337
200000000,597,en,Titanic,100.025899,11/18/1997,1845034188,194,Released,7.5,7562
250000000,271110,en,Captain America: Civil War,198.372395,4/27/2016,1153304495,147,Released,7.1,7241
209000000,44833,en,Battleship,64.928382,4/11/2012,303025485,131,Released,5.5,2114
150000000,135397,en,Jurassic World,418.708552,6/9/2015,1513528810,124,Released,6.5,8662
200000000,37724,en,Skyfall,93.004993,10/25/2012,1108561013,143,Released,6.9,7604
200000000,558,en,Spider-Man 2,35.149586,6/25/2004,783766341,127,Released,6.7,4321
200000000,68721,en,Iron Man 3,77.68208,4/18/2013,1215439994,130,Released,6.8,8806
200000000,12155,en,Alice in Wonderland,78.530105,3/3/2010,1025491110,108,Released,6.4,4645
210000000,36668,en,X-Men: The Last Stand,3.857526,5/24/2006,459359555,104,Released,6.3,3525
200000000,62211,en,Monsters University,89.186492,6/20/2013,743559607,104,Released,7,3528
150000000,8373,en,Transformers: Revenge of the Fallen,21.939663,6/19/2009,836297228,150,Released,6,3138
210000000,91314,en,Transformers: Age of Extinction,116.840296,6/25/2014,1091405097,165,Released,5.8,3095
200000000,68728,en,Oz: The Great and Powerful,46.985445,3/7/2013,491868548,130,Released,5.7,3530
200000000,102382,en,The Amazing Spider-Man 2,89.270217,4/16/2014,705717432,142,Released,6.5,4179
170000000,20526,en,TRON: Legacy,73.79505,12/10/2010,400062763,125,Released,6.3,2841
200000000,49013,en,Cars 2,49.98659,6/11/2011,559852396,106,Released,5.8,2033
200000000,44912,en,Green Lantern,51.872839,6/16/2011,219851172,114,Released,5.1,2487
200000000,10193,en,Toy Story 3,59.995418,6/16/2010,1066969703,103,Released,7.6,4597
200000000,534,en,Terminator Salvation,71.862892,5/20/2009,371353001,115,Released,5.9,2463
190000000,168259,en,Furious 7,102.322217,4/1/2015,1506249360,137,Released,7.3,4176
200000000,72190,en,World War Z,81.834855,6/20/2013,531865000,116,Released,6.7,5560
250000000,127585,en,X-Men: Days of Future Past,118.078691,5/15/2014,747862775,131,Released,7.5,6032
190000000,54138,en,Star Trek Into Darkness,78.291018,5/5/2013,467365246,132,Released,7.4,4418
195000000,81005,en,Jack the Giant Slayer,43.349855,2/27/2013,197687603,114,Released,5.5,2598
105000000,64682,en,The Great Gatsby,61.196071,5/10/2013,351040419,143,Released,7.3,3769
150000000,9543,en,Prince of Persia: The Sands of Time,62.169881,5/19/2010,335154643,116,Released,6.2,2317
180000000,68726,en,Pacific Rim,56.523205,7/11/2013,407602906,131,Released,6.7,4794
195000000,38356,en,Transformers: Dark of the Moon,28.529607,6/28/2011,1123746996,154,Released,6.1,3299
185000000,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,5/21/2008,786636033,122,Released,5.7,2495
175000000,105864,en,The Good Dinosaur,51.692953,11/14/2015,331926147,93,Released,6.6,1736
185000000,62177,en,Brave,125.114374,6/21/2012,538983207,93,Released,6.7,4641
185000000,188927,en,Star Trek Beyond,65.352913,7/7/2016,343471816,122,Released,6.6,2568
180000000,10681,en,WALL·E,66.390712,6/22/2008,521311860,98,Released,7.8,6296
140000000,5174,en,Rush Hour 3,22.57178,8/8/2007,258022233,91,Released,6.1,783
200000000,14161,en,gallon2,45.274225,10/10/2009,769653595,158,Released,5.6,4903
200000000,17979,en,A Christmas Carol,39.744242,11/4/2009,325233863,96,Released,6.6,1095
176000003,76757,en,Jupiter Ascending,85.36908,2/4/2015,183987723,124,Released,5.2,2768
180000000,258489,en,The Legend of Tarzan,42.741719,6/29/2016,356743061,109,Released,5.5,2430
180000000,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,12/7/2005,748806957,143,Released,6.7,2629
178000000,246655,en,X-Men: Apocalypse,139.272042,5/18/2016,543934787,144,Released,6.4,4721
185000000,155,en,The Dark Knight,187.322927,7/16/2008,1004558444,152,Released,8.2,12002
175000000,14160,en,Up,92.201962,5/13/2009,735099082,96,Released,7.7,6870
175000000,15512,en,Monsters vs Aliens,36.167578,3/19/2009,381509870,94,Released,6,1423
